Service Account No,Date,Meter Number,Unit of Measurement,,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
1164050,9/4/16,259000-079225,KWH_DEL,,5.2,4.8,4.8,4.8,5.2,4.8,4.8,5.2,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,5.2,4.8,4.8,4.8,4.8,4.8,5.2,4.4,2.8,2.8,3.2,3.6,2.8,2.4,2.8,2.8,5.2,6,4.4,5.6,4.8,4.4,4,4.4,3.6,5.2,4,4.4,4.4,4.4,4.8,4.8,4.8,3.6,3.6,4.8,3.6,4.4,5.6,4,5.6,4.8,5.6,5.2,4.4,5.2,6.4,4.8,5.2,5.6,5.6,4,4.4,3.6,4,2.4,6,7.2,9.6,10.4,10.4,11.6,10.8,10.4,10.8,10.8,10.8,10.8,10.8,10.4,10.8,8,4.8,4.8,4.8,4.8,4.8,5.2
1164050,9/5/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,5.2,5.2,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,5.2,4.8,5.2,4.8,5.2,4.8,4.8,4.8,5.2,4.8,4.8,4.4,3.2,2.8,2.8,2.8,3.2,2.8,2.8,2.4,2.8,3.6,3.2,2.8,2.8,3.2,2.8,2.4,2.8,2.8,2.4,3.2,3.2,3.2,3.2,5.2,3.2,3.6,4.4,4,4,4.4,4,4.8,4.4,4.4,4.8,4.4,4.8,5.2,4,5.6,4.4,5.6,4.4,4.8,3.6,4.8,4,4,7.6,9.6,10.4,11.6,11.6,12,11.6,11.6,11.6,11.2,11.2,11.2,11.2,11.2,10.8,7.6,4.8,5.2,4.8,4.8,5.2,4.8
1164050,9/6/16,259000-079225,KWH_DEL,,5.2,4.8,5.2,4.8,5.2,5.2,4.8,5.2,4.8,5.2,4.8,5.2,4.8,5.2,4.8,5.2,5.6,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.8,3.2,3.2,2.8,2.8,3.2,3.2,3.6,3.6,3.6,3.6,3.6,4,3.6,4,3.6,4,3.6,4.4,4,5.2,4,6,7.2,4.8,6.8,5.6,5.6,7.2,5.2,7.2,6,6,7.2,6.4,6.8,6.4,6.4,7.6,8.8,8,8.4,7.6,7.6,6,7.6,7.2,8.4,7.6,11.6,19.6,26.8,26.4,27.6,27.2,26.8,26.4,26.4,26.4,26.4,12.8,11.6,11.2,10.8,8,5.2,4.8,5.2,4.8,4.8,4.8
1164050,9/7/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.2,5.2,5.2,4.4,3.6,2.8,2.8,3.2,2.8,2.8,4,4,4,4.4,4.4,4,4.8,4.8,4.8,5.2,5.2,4.8,6,5.2,5.2,6,5.2,6,6,4.8,6.8,4.8,7.2,6,6,6,5.6,6,6.4,5.2,6.8,6,5.6,6.8,5.6,5.6,6,5.2,6.8,4.8,5.6,6.8,8.8,26.4,38.4,38.4,41.2,39.6,38.4,26.8,25.6,25.2,25.2,12.8,11.2,10.4,9.2,7.2,4.8,5.2,4.8,4.8,4.8,5.2
1164050,9/8/16,259000-079225,KWH_DEL,,5.2,4.8,4.8,4.8,5.2,4.8,4.8,5.2,4.8,4.8,4.8,5.2,4.8,5.2,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,5.2,4.4,3.2,2.8,2.8,4,2.8,3.2,3.2,4,3.2,3.6,4.4,4,4,4.8,4,3.6,5.2,4,4.8,4.8,4.8,5.2,5.2,6.8,6,5.6,6.8,6.4,5.6,7.2,5.2,5.6,6.8,6.8,6.8,6,6.8,7.2,7.2,6,5.2,6.4,7.2,6,7.2,5.2,6.8,5.6,10,27.6,38.8,39.6,40,40.8,40,39.6,38.4,39.2,37.6,26.8,24.4,24.4,12.4,8,4.8,5.2,5.2,4.8,4.8,4.8
1164050,9/9/16,259000-079225,KWH_DEL,,5.2,4.8,4.8,5.2,4.8,4.8,4.8,5.2,4.8,4.8,4.8,5.2,4.8,5.2,4.8,5.2,4.8,5.2,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.4,3.2,2.8,2.4,2.8,3.2,3.2,5.2,3.2,3.6,4,4.8,3.2,5.6,3.6,4.8,4.4,4.8,4.4,5.6,4.8,4.8,6.8,4.4,6.8,5.6,6.4,5.6,6,6.8,5.2,6.8,6,7.6,6.4,7.6,5.6,7.6,6.8,8,6.4,5.6,6.4,6.8,5.2,6.8,6.8,7.2,7.2,10,32.4,38.8,40,41.2,39.6,39.6,38,38,38,38,38,38,37.6,14,8,4.8,4.8,4.8,4.8,4.8,4.8
1164050,9/10/16,259000-079225,KWH_DEL,,4.8,4.8,5.2,4.8,4.8,5.2,4.8,4.8,4.8,5.2,4.8,5.2,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,5.2,4.4,3.2,2.8,2.8,3.2,2.4,2.8,3.2,3.6,3.6,3.6,5.2,4.4,4,4.4,4.8,6,5.2,5.2,6,6.4,6,6.8,6.8,6,7.2,6.8,8.4,5.6,6.8,7.6,5.2,4.8,4.8,5.6,6.4,6.4,6.8,6.4,6,6.4,5.2,5.6,4.4,4.4,3.6,4.4,4,4.4,7.2,10.4,14.4,24.8,24.8,25.2,25.2,24.8,24.8,25.2,24,24.8,13.2,10.8,11.6,8.4,5.2,5.6,5.6,5.2,5.6,5.2
1164050,9/11/16,259000-079225,KWH_DEL,,5.6,5.6,4.8,6,4.8,5.6,5.6,5.2,5.6,4.8,5.6,5.2,5.6,5.2,5.2,5.2,5.2,5.2,5.2,5.6,4.8,5.2,5.6,5.6,5.2,5.2,3.2,2.8,3.6,4,3.2,2.8,2.4,3.2,2.8,6.4,6.4,4.8,6.4,4.8,4,4.8,4.4,4.4,5.6,5.6,6.4,6.4,6,6,6.8,6,6,6.4,6.8,7.6,7.6,8,7.6,7.6,8.4,8,8,8,8,7.2,7.6,5.6,6,6.8,6.8,4.8,4,3.6,7.2,9.2,11.6,10.8,11.6,11.2,12,10.8,12,10.8,10.8,11.6,10.8,11.2,10.8,8.4,5.2,5.2,5.6,4.8,5.2,6.4
1164050,9/12/16,259000-079225,KWH_DEL,,6,6,5.6,5.2,4.8,5.2,5.2,5.2,5.6,5.2,5.2,5.2,4.8,5.2,5.2,5.2,5.2,5.2,4.8,4.8,4.8,4.8,5.2,5.2,4.8,4.8,2.8,2.8,2.8,2.8,2.8,3.2,3.6,3.2,3.2,4,3.2,4,4.4,3.6,4,4.4,3.6,5.2,4,4.8,4.4,4.4,4.4,5.2,4.4,5.2,5.2,5.2,5.2,5.6,4.4,5.2,4.4,6,4.4,4.8,4.8,4.8,4.8,6,4.4,5.6,4.4,6,4,5.2,5.2,5.2,10.8,37.2,36.8,38.4,38.8,38.4,37.2,26,24.4,24.8,24.4,12,10.8,11.2,10.8,8,5.2,5.2,4.8,5.2,4.8,4.8
1164050,9/13/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,5.2,4.8,5.2,4.8,5.2,5.2,4.8,4.8,4.8,5.2,4.8,4.8,5.2,4.8,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.8,3.6,3.2,2.8,3.2,3.2,3.2,3.2,3.6,3.6,3.6,3.6,4,4.4,3.2,3.6,4,4,4,4,3.6,4.4,4.4,4,4,4.4,3.6,3.2,3.6,3.6,4,4.4,3.6,4,3.6,4,3.6,4.4,5.2,4,5.2,4.4,4.8,4.8,4.8,4.8,5.2,4.8,4.8,11.2,36.8,38.4,38.8,38,38.8,38.4,26,24.4,24.4,24,12.4,11.2,11.2,10,8,5.6,5.2,5.2,5.2,5.2,5.2
1164050,9/14/16,259000-079225,KWH_DEL,,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.8,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.8,5.2,5.2,4.8,5.2,5.2,4.8,3.6,2.8,2.8,3.2,2.8,3.2,3.2,3.6,3.6,3.2,3.6,3.2,3.6,3.6,4.4,3.6,4,4.4,4,4.4,3.6,4.4,4,4,5.2,4.4,5.2,4.4,5.2,4.8,4.8,5.2,4.4,3.2,6.4,4,4.4,5.2,6,4.4,5.6,4.4,6,4.8,4.8,4.8,6,5.2,12.8,26,32,38.8,39.2,38.8,37.6,38.4,26.4,25.2,24.8,12.8,11.6,11.6,11.2,7.6,5.2,5.2,5.6,6,5.6,5.2
1164050,9/15/16,259000-079225,KWH_DEL,,5.2,5.2,4.8,5.2,5.6,5.2,5.2,5.2,5.2,5.2,5.2,4.8,5.6,5.2,5.2,4.8,5.2,5.2,4.8,5.2,5.2,5.2,5.2,5.2,4.8,5.2,3.6,2.8,2.8,3.2,2.8,2.8,3.6,3.6,3.2,3.2,3.6,3.6,3.6,3.6,3.2,3.6,3.6,4,3.2,3.6,5.6,3.6,5.2,4.8,5.2,5.6,4.8,6,5.2,6.8,5.2,6,6.4,7.2,6,7.2,6,7.2,7.2,6,7.6,5.6,7.2,6.8,6.8,7.2,6.4,6.8,13.6,24,36.8,37.6,39.6,40,39.2,38.8,38.8,38.4,38.4,25.2,23.6,24,12,8.4,4.8,5.6,5.2,5.2,5.2,4.8
1164050,9/16/16,259000-079225,KWH_DEL,,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.6,5.2,5.2,5.2,5.2,5.2,4.8,5.2,5.2,5.2,5.2,5.2,5.2,4.8,5.2,5.2,5.2,5.2,4,2.8,3.2,2.8,3.2,2.8,4,3.6,3.2,3.6,3.2,3.2,3.6,4,3.2,3.6,4.4,3.2,5.2,4,3.6,5.2,4.4,4.8,6.4,4,6.8,4.8,6.4,5.2,4.8,6,6,5.6,5.6,6,5.6,6.4,5.2,5.6,6,4.8,6,5.6,5.6,4.8,6.8,6.8,18.8,40,39.2,39.6,39.2,38.4,37.6,37.2,37.6,37.2,36.8,36.8,36.8,37.2,14,8.4,5.2,5.2,5.2,4.8,5.2,5.6
1164050,9/17/16,259000-079225,KWH_DEL,,5.6,5.6,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.8,5.2,5.2,3.6,3.2,2.8,3.2,3.2,2.8,3.2,3.6,3.2,3.2,3.6,3.2,4.4,4.8,4,4.8,4.8,4.4,6,6,5.2,6,6,6.8,7.2,5.2,7.2,8,6.8,6.8,5.6,6.4,7.2,7.2,6.8,5.2,4.8,4.8,6.8,5.2,6.4,5.6,6.4,4.8,4.8,4.4,5.6,4,16.4,24.8,24,25.2,25.2,25.2,25.2,25.2,24.4,24.8,24.4,24,23.6,11.6,10,8,6,5.6,6,6,6,6
1164050,9/18/16,259000-079225,KWH_DEL,,6.4,5.6,5.2,6,5.2,5.6,6,6,5.2,5.6,5.2,5.2,6.4,5.2,5.2,5.6,5.2,5.2,5.6,6,5.2,5.6,5.2,5.2,5.2,5.2,4.4,2.8,3.2,2.8,3.2,2.8,2.8,3.2,2.8,5.6,5.2,5.2,4.4,4.8,3.6,4.4,4.8,4.8,5.2,5.6,4.4,6.8,6.4,7.2,5.6,7.2,6,6.4,8.4,8.4,8,8,7.6,8.4,8.8,8.4,8.4,8,8.4,8.4,8.4,8,8.8,8,7.2,6.8,4.8,5.2,7.6,10,12,11.2,12,12.8,11.2,12.4,12.4,10.8,10,10,10,9.6,10,7.6,5.6,5.6,6,5.2,6,5.6
1164050,9/19/16,259000-079225,KWH_DEL,,7.2,6.4,5.2,5.6,5.6,5.2,5.2,5.2,6.4,5.2,5.2,5.2,5.2,5.2,5.6,5.2,5.2,4.8,5.2,5.2,5.6,5.2,4.8,5.2,5.2,5.2,4.8,3.2,3.6,4,3.2,4,3.6,4.4,3.6,4.8,4.4,4.4,5.2,4.4,4.4,6,4.8,6,5.6,6.8,6,5.6,6.8,6.8,7.6,6.4,6.8,8,6.8,7.2,8,6.8,6.4,7.2,6.4,8,5.6,7.6,5.2,7.2,5.2,6.8,5.2,6.4,5.2,4.4,6.4,5.2,29.6,38.8,40,39.6,39.6,38,38,26.4,25.6,25.2,24.8,12.8,12.4,12,11.6,8.8,6,5.6,5.6,5.2,5.2,5.2
1164050,9/20/16,259000-079225,KWH_DEL,,5.6,5.2,5.2,5.2,5.2,4.8,5.2,5.2,5.2,5.2,4.8,5.2,5.2,5.2,5.2,5.2,5.2,4.8,5.2,5.2,4.8,5.2,4.8,5.2,5.2,5.2,4,2.8,4.8,4.8,3.6,3.6,4,4.4,4.4,5.6,5.2,4.8,5.2,3.6,6,4.4,5.6,5.2,6,4.4,6.8,4.4,6,6.4,6,6,5.6,6,4.8,5.2,5.2,5.2,6,5.6,5.2,5.6,4.8,4.8,5.6,6,5.2,5.6,6.4,5.2,6,6,5.6,7.6,21.2,26,26.8,26.8,26,27.2,26.8,24.4,25.2,24.4,24,13.2,10.4,9.2,9.2,7.6,5.6,5.6,5.2,5.2,5.2,5.2
1164050,9/21/16,259000-079225,KWH_DEL,,4.8,5.2,5.2,4.8,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.8,5.2,5.2,5.2,5.2,4.8,4,3.2,3.6,5.2,2.8,3.2,3.6,4.4,4,5.6,4,4.8,4.4,4.8,4.8,5.6,4.4,6,5.2,5.6,5.6,6,6,6.4,6.4,6.8,6.8,6,5.6,7.6,6.8,6,7.2,6.8,6,7.2,6,6,6.4,6.8,7.2,7.2,6.8,5.6,6.4,5.6,6.4,7.6,33.2,38.8,38,40.4,39.6,39.2,38,26.8,25.2,24.4,24.4,12.8,11.2,11.2,10.4,8.4,4.8,5.2,5.6,5.6,5.6,5.2
1164050,9/22/16,259000-079225,KWH_DEL,,4.8,5.2,5.2,5.2,5.2,4.8,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.8,5.2,5.2,5.2,4.8,5.2,5.2,5.2,5.2,4,2.8,3.6,4.4,3.2,3.6,4.8,3.6,3.6,3.6,4.8,4,4,5.2,4.4,4,5.2,5.2,4.8,4.8,5.6,6.4,4.8,5.6,5.6,6,6,5.2,6.4,6.4,5.2,6.4,6.8,6,6.4,6,6,5.2,6.4,5.6,6.4,6.4,6,5.6,5.6,6,5.6,6.4,36.4,37.2,37.6,39.6,39.2,39.2,39.6,37.6,38,37.2,37.6,25.6,24,24,11.6,8,5.2,5.2,5.2,5.6,5.6,5.6
1164050,9/23/16,259000-079225,KWH_DEL,,4.8,5.2,5.2,4.8,5.6,4.8,5.2,5.2,5.2,5.2,4.8,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.8,5.2,5.2,5.2,5.2,4.8,5.2,5.2,4,3.2,2.8,2.8,3.2,2.8,3.2,3.2,3.6,3.2,3.6,3.2,3.6,3.2,4,3.2,3.2,3.2,3.6,4.4,3.6,4.4,4.4,4.4,4,4.4,5.2,4.4,5.2,4,6,4.4,5.2,5.2,5.2,5.6,5.6,4.4,6.4,5.2,4.8,6,5.2,5.2,6,4.8,6.8,8,25.6,27.2,25.2,26.8,25.6,26,24.8,24,24,24,23.6,24,24,23.6,12,8.8,5.2,5.2,5.2,5.2,4.8,5.2
1164050,9/24/16,259000-079225,KWH_DEL,,5.2,5.2,5.6,4.8,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.8,5.2,5.2,5.2,5.2,4.8,5.2,5.2,5.2,4.8,5.2,5.2,5.2,5.2,4,2.8,3.2,2.8,2.8,3.2,3.2,3.6,3.2,3.2,3.6,3.2,4.8,4.4,5.6,6,5.6,5.2,5.2,6.4,5.2,6,6.4,6.4,7.2,6,7.2,6,8,5.6,5.2,4.8,5.2,5.2,6,6.8,6.8,6.8,6.4,7.2,6.4,7.2,6,7.2,6.4,6.8,6.4,10.4,23.2,24.4,24.8,25.2,24.4,24.4,24.8,24.8,24,24.4,23.2,24,23.6,12.8,11.2,9.2,8.4,7.6,7.6,8,7.2,7.2
1164050,9/25/16,259000-079225,KWH_DEL,,6,6.4,5.6,5.6,5.6,5.6,5.2,6,5.2,5.6,5.6,5.6,5.2,6,5.2,5.2,6,5.2,5.2,5.6,5.2,5.6,5.6,5.6,6,6,4.8,3.6,5.2,4.4,3.2,2.8,3.6,3.2,4,6.8,6.8,6,7.2,4.4,6,4.8,6,5.6,6,6.8,7.6,6,5.6,6.4,7.6,7.6,8,6,7.2,6.8,8,8,8.4,7.6,8.4,8,8,7.6,7.6,7.6,6,6.8,6.8,6.8,6.4,6,4.8,4.8,8.4,10.4,10.4,10.4,10.8,11.2,12.4,11.2,12,9.6,9.6,9.6,10,10.8,8,6.8,5.6,6,5.2,6.4,6.8,5.2
1164050,9/26/16,259000-079225,KWH_DEL,,4.8,6.4,4.8,5.2,5.6,5.2,5.2,5.2,5.6,5.2,5.2,5.2,5.6,5.6,4.8,5.2,5.2,5.6,5.2,4.8,5.2,5.6,5.2,4.8,5.2,5.6,5.2,3.2,4.4,3.2,3.2,4.4,3.6,4.4,4.4,5.6,5.6,5.2,5.2,6.4,5.6,7.2,8,6.8,8.4,7.6,8,7.2,7.6,7.6,6.8,8,6.4,7.6,7.6,8,7.6,8,7.2,6,6,7.6,5.2,7.6,7.6,6.8,7.6,5.6,7.6,6.8,5.6,7.6,6.8,15.2,37.6,37.2,38,38.8,38,37.2,35.6,24.8,24,24,22.8,10.8,9.6,9.2,9.2,8,4.8,5.2,5.2,4.8,4.8,4.8
1164050,9/27/16,259000-079225,KWH_DEL,,4.8,4.8,5.2,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.4,2.8,4.4,4.8,2.8,4,4,5.2,5.2,5.2,6.4,4.4,6.4,4.4,5.6,5.6,5.2,6.8,5.6,6.8,7.2,6.8,6,8,7.6,7.6,8,7.2,7.6,6.8,6,5.2,7.6,7.2,8,7.2,6,8.4,8,6,6.8,7.2,6,7.6,5.2,8.4,6.4,14,23.6,26.4,25.6,24.8,26.4,25.2,25.2,26,24.8,23.6,23.6,10.8,10,9.6,9.2,7.6,4.8,5.2,4.8,4.8,4.8,5.2
1164050,9/28/16,259000-079225,KWH_DEL,,4.8,4.4,5.2,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.4,2.8,4.4,4.8,3.2,3.6,3.6,4.4,4.4,5.2,4,4.8,5.2,4.4,5.6,4.4,5.6,5.2,5.6,6,5.2,6.4,6.8,4.8,7.6,6.4,5.6,5.6,6.4,6,6.8,5.2,6.4,6.4,6,6.4,4.4,6.8,5.6,6.8,5.6,7.2,4.8,7.6,4.4,6.4,5.6,20.8,36.8,38.4,38.4,38.4,38,38.4,36.4,24,23.2,23.2,22.4,10.8,9.6,9.6,8.8,8,4.8,4.8,5.2,5.2,5.2,4.8
1164050,9/29/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.4,4.4,2.8,4.4,4.4,2.8,3.6,3.6,4,5.6,4,5.2,6,4,5.6,4.4,6.4,4.8,6,5.2,6.8,5.6,6.4,7.2,5.6,7.2,7.2,7.2,6.4,7.2,8,7.2,7.6,6.8,7.6,7.6,8,7.6,7.6,6.4,7.2,8.4,6.8,7.2,6.4,8,6.4,7.6,16.8,22.8,26,25.2,26.4,24.8,26.4,25.2,23.2,23.2,23.2,22.8,23.2,22.4,22.4,10.8,8.4,4.8,5.2,5.6,5.6,5.2,5.6
1164050,9/30/16,259000-079225,KWH_DEL,,5.2,5.2,5.6,5.2,5.2,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.4,2.4,4.4,4.8,2.8,3.6,4.4,4.8,4,3.6,4,5.2,5.2,4.4,4.8,4.4,6,3.6,6.4,6.4,4,6.8,6.8,7.2,5.2,7.2,6.4,7.6,6.4,7.6,6.4,7.2,7.2,7.2,7.6,6.8,7.2,5.2,6.8,7.2,7.6,6,6.4,6.4,6,7.2,8,25.6,36.4,37.6,28.8,26,24.8,25.6,23.6,23.6,23.2,22.4,22.4,22,22.4,22,10.4,9.2,5.2,4.8,4.8,5.2,4.8,4.8
1164050,10/1/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,5.2,5.2,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.4,2.8,2.8,3.2,2.8,3.6,3.6,5.2,4,4.8,5.6,4,7.6,6.8,5.6,7.2,6.8,6,7.2,7.6,6.8,7.6,8.4,6,7.6,7.6,6.4,6.4,5.6,5.6,2.8,2.8,2.8,2.8,2.4,2.8,2.4,2.8,2.4,2.8,2.4,2.8,2.4,2.8,2.4,2.8,3.2,14.8,18,22,22.4,22,22.4,22.4,22.4,22,22.4,22.4,22,22.4,22,11.2,9.2,9.2,6.4,5.2,5.6,5.2,4.8,4.8
1164050,10/2/16,259000-079225,KWH_DEL,,4.8,5.2,4.8,4.4,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.4,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,2.4,2.8,4,2.4,2.8,2.8,2.4,2.8,5.2,6,4.4,4.8,4.4,4.4,4,4,5.2,4,5.2,4,6.4,6.8,4.4,7.2,5.6,5.6,5.6,6,5.2,4,5.2,6.8,4,7.2,5.2,6,6,4.8,6.4,4.4,5.2,6,4,5.6,4,4.4,6,5.6,8.4,10.4,9.6,9.6,10.4,9.6,10,10,10,9.6,9.6,9.2,9.6,10,9.2,7.6,5.2,4.8,5.2,5.2,4.8
1164050,10/3/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,5.2,4.8,4.8,5.2,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,2.8,2.4,2.8,2.4,2.8,3.2,3.2,2.8,4,3.2,4,3.2,3.2,3.6,4,3.2,4.4,3.2,4.4,4,4.4,4,4.8,4,4.4,5.2,3.6,4.8,4,3.6,4.4,3.6,4.8,4,4,4,4.4,4.4,5.2,3.6,4,4.8,3.6,4,4,4.8,19.2,19.6,22,24,24,22.8,23.6,22.4,23.2,23.2,23.2,22.8,10.8,9.6,9.2,9.2,8.4,6.8,5.2,4.8,4.8,4.8,4.8
1164050,10/4/16,259000-079225,KWH_DEL,,4.8,4.8,5.2,5.2,5.2,5.2,5.6,5.2,5.2,5.2,4.8,5.2,4.8,5.2,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.4,4.8,4.8,4.8,4.8,2.4,2.8,2.4,2.8,2.8,3.2,3.2,3.6,3.2,3.2,3.6,3.2,2.8,4,3.2,3.6,3.6,4,4,4.4,4,4,4.8,4.4,4.4,4.8,4.8,4.4,4.8,4.4,4.8,5.2,4,6,4.4,5.2,5.2,4.8,6,5.6,4.8,6.4,4.4,5.6,5.2,6.4,20.4,20.4,22.4,25.2,24,24,24.4,23.6,23.2,22.8,23.2,22.8,11.2,9.6,9.6,8.8,9.6,9.6,4.8,5.2,4.8,4.8,4.8
1164050,10/5/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.4,5.2,4.4,4.8,4.8,4.8,4.8,4.8,4.8,4.4,4.8,4.8,4.8,4.8,4.8,2.8,2.4,2.8,2.4,2.8,2.8,3.2,3.2,3.2,3.6,3.2,3.6,3.6,3.6,3.2,3.6,3.2,4.4,3.6,4,4.4,3.2,4.8,4.4,4.4,4.8,4,4,4,4,3.6,5.6,3.2,4.8,4.4,4,5.2,4.4,4.8,4.8,4.8,4.4,4.4,4,4.4,8.4,19.2,20,20.8,24.4,24,24.4,23.2,22.8,22.8,22.8,22.4,22.4,10.8,9.6,9.2,8.4,7.6,8,5.6,5.6,4.8,4.8,4.8
1164050,10/6/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.4,5.2,4.4,4.8,4.8,5.2,4.8,4.4,4.8,4.8,4.8,4.8,4.8,4.4,2.8,2.8,2.8,2.8,2.8,3.2,3.2,3.2,3.6,3.2,3.2,3.2,3.2,3.2,3.6,3.2,3.2,3.6,2.8,4.4,3.6,4.4,4,4.4,4.8,4.8,4.4,5.2,4.4,5.2,4.8,5.2,4.8,6.4,4,5.2,4.4,4,5.2,5.6,5.6,6.4,6.8,5.2,6.4,12.4,33.6,33.6,34,35.6,36,37.6,37.6,36.4,34.8,35.2,35.2,34.4,23.6,22,15.6,9.2,9.2,7.6,6.4,4.8,4.4,5.2,4.4
1164050,10/7/16,259000-079225,KWH_DEL,,4.8,5.2,5.6,5.2,5.2,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.4,5.2,4.8,4.4,4.8,4.8,2.8,2.8,2.4,2.8,2.4,5.2,3.6,3.6,3.2,4,3.6,5.2,3.2,4,5.6,3.6,4.8,4.8,5.2,6,4.8,6,5.2,6.4,5.6,5.2,6,5.6,5.6,5.6,5.6,4.8,7.6,5.2,6,6,5.2,7.2,5.6,6.4,6.8,4.8,6.4,5.2,6.8,14.8,34.4,34,34.8,37.2,37.6,39.2,37.2,36.4,36.8,36,36,36,35.2,26,23.6,12,10.8,9.2,7.2,4.8,4.8,5.2,4.8
1164050,10/8/16,259000-079225,KWH_DEL,,4.8,5.2,4.4,4.8,5.2,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,2.8,2.8,2.4,2.8,2.8,2.8,3.2,3.2,2.8,4,3.2,3.6,3.2,4.8,5.2,4.8,5.2,5.2,5.2,5.6,4.8,6,6,4.4,6.8,5.2,5.2,4.8,4.8,2.8,2.4,2.8,2.4,2.8,2.8,2.4,2.8,2.4,2.8,2.4,2.8,2.4,2.8,2.4,2.8,9.6,18,18,18,20,22,22.4,22.4,22.4,22.4,22,22,22,22,22,10.8,9.2,7.6,7.2,6.4,4.8,4.8,4.8,4.8
